question,expected_answer,module,lesson,cohort,type
Why do I feel bad whenever I spend money on myself?,"I can see how spending on yourself comfortably may be difficult, but understand that the guilt you feel from spending money on yourself isn't about the money but the values you were taught on top of your identity. So if you want to stop feeling bad whenever you spend money you'll need to challenge those beliefs and remind yourself that taking care of your own needs isn't selfish. Spending responsibly on yourself is normal, and it's okay to enjoy the money you've worked hard to earn.",Module 1: Money Mindset|Module 3: Money Management,Cycle of Socialization|Give Yourself Grace,core27,standard
How does the way I grew up shape how I handle cash?,The environment you grew up in builds your perception of money causing you to carry those trained habits maybe even all the way into your adult life. As long as you see how some of your habits should/could be improved then taking the necessary steps to improve them is all that matters,Module 1: Money Mindset,Cycle of Socialization,core27,standard
What kinds of habits are holding people back from getting ahead financially?,"Some big financial habits holding people back from getting ahead are spending without a budget, living paycheck to paycheck, lack of financial education, and spending outside your means. Honestly, if you can build a nice budget that you can stay consistent with and not have to dip into any areas to cover any unexpected expenses than you will knock almost all your financial habits that need some improvement out of the way",Module 1: Money Mindset,Behavior That Prevent Progress,core27,standard
How do fights about money mess with relationships?,"Money conversations may be a little difficult to navigate with both sides having completely different views on money, it may even be a little uncomfortable and taking that into a relationship can get a little messy. The both of you guys must be understanding to each other that you have a mismatched sense of financial values and completely different spending habits but if you go through the conversation with transparency, honesty, open ears to their side, and then set combined financial goals and boundaries to leave both ends feeling seen, heard, and understood you should be able to get through the money mess with a clearer sense of what money looks like in your relationship",Module 1: Money Mindset,Money and Relationships,core27,standard
How can I stop overthinking it and just start putting money away?,"Having trouble overthinking how to save? Don't worry because I can offer some tips to lead you in the right direction. With each coming check what do you find yourself prioritizing? Do you have a budget that you follow? Answering those questions will help you understand what is holding you back from putting money away. If you have the resources to get all of your unnecessary wants then you should be able to afford putting a small portion of each check towards something, whether that be investing to build your money or sent over to your separate savings account to get closer to reaching a set goal. It doesn't have to be a great amount of how much you make, the key is honestly consistency so if you can afford to put $10, $20, or even $50 each check it will reach great heights as time passes if you stay on track. Don't overthink it, putting away money takes initiative so once you're ready go for it.",Module 2: Building Healthy Habits,Just Start,core27,standard
What's the real difference between subsidized and unsubsidized student loans?,"Alright, so you're interested in understanding the difference between subsidized and unsubsidized student loans? It's pretty simple once you know one key difference that being when the interest rates on unsubsidized loans accrue interest on the date the loan is disbursed; Meanwhile, subsidized loans accrue interest about 6 months after leaving school due to the government paying off the interest if you are enrolled at least half-time.",Module 2: Building Healthy Habits|Module 4: Navigating Credit,Student Loans|Student Loan Deep Dive,core27,standard
How do I keep from getting hit with overdraft fees at my bank?,"Troubles with overdraft fees... Sounds pretty unfortunate. Because overdraft fees are from an expense being more than the available amount in your account the best method to avoid getting stuck with those hard overdraft fees to dig you in a deeper hole would be to either keep a little safety net in your account like an emergency fund but its doesnt have to be 3 months worth of expenses but atleast enough to keep you from going deeper in the negatives, doing this will 1 keep you from getting those annoying fees but also possibly prevent you from spending too much moving forward",Module 2: Building Healthy Habits,Avoiding Fees and Overdrafts,core27,standard
How do I figure out which bank or credit union is right for me?,"Each bank has their own pros and cons. I would recommend choosing the best one that aligns with your values, goals, and beliefs",Module 2: Building Healthy Habits,Selecting a Financial Institution,core27,standard
How do I deal with financial aid as a college student?,"Going into college you may not have much knowledge on financial aid and how to navigate it, but dont stress yourself out. Universities put many resources in place to support you along the way and one of those resources being the financial aid office, they should be able to assist you with any questions or concerns you may have. You don't have to worry about dealing with financial aid alone, we all understand how frustrating that could be.",Module 2: Building Healthy Habits,Navigating Financial Aid,core27,standard
How do I build a budget that I can actually stick to?,"Building a tailored budget can sound a bit confusing but it's actually pretty simple. Calculate how much fixed monthly expenses you have and immediately deduct that from your net income, this remaining total is the amount you can play around with, with that amount you need to decide what else you are going to need and want. Like in the modules we gave an budgeting example 50/30/20 rule which takes",Module 3: Money Management,Spending Plan Foundations,core27,standard
Any good tips for saving money while I'm still in school?,"Ahhh yes, In order to save you must know how much you can save consistently without falling short on your other expenses. So a good tip I would recommend would be to track your expenses, build your own tailored budget and go from there. Remind yourself that consistency is key.",Module 3: Money Management,Saving Tips & Tricks,core27,standard
How do I go about negotiating my first salary?,"Negotiating your first salary may seem impossible or even intimidating but it's a totally normal part of the hiring process. Before you accept a given offer, take the time to research the position and find a reasonable amount to argue for. When negotiating be sure to be excited about the role, thank the employer for the offer, then politely ask if theres flexibility in the salary based on your skills, certifications, relevant experiences. If unfortunately the salary cant be increased then you could also ask about other benefits.",Module 3: Money Management,Salary Negotiation,core27,standard
How do income taxes even work for college students?,"Well you if you earned income during the year whether it being full time, part time, or even self employment you should receive a W-2 form from your employer to see how much you earned and see how much taxes were withheld from your checks. Then the main form you will be filling out is the Form -1040 to report back to the IRS where you include personal information, income, credits and deductions that will be used from the form 1098-T, and taxes already paid. The form will calculate whether you receive a refund or owe anything back, you will need to add bank information if you are receiving a refund via direct deposit and lastly the forms need to have a signature by you",Module 3: Money Management,Income Taxes,core27,standard
What should I do if I blow my budget and overspend?,"Number one thing I would say is, don't beat yourself up for it. You built a budget that is a great achievement, be proud of yourself. Overspending can happen but what you do next matters more than anything. Review back at your budget, see which area of expenses was more than what you expected, then adjust it to ensure it doesn't happen again. If it does, keep adjusting until you've built a budget you can consistently follow.",Module 3: Money Management,Give Yourself Grace,core27,standard
What actually goes into a FICO credit score?,"A FICO credit score consists of 5 categories to base the result off, the first and biggest impact on your score being 35% of total score is payment history, paying on time is essential in having a respected credit score. The next biggest portion of your score is the amount owed, this is the amount of available credit you have left available (aim to only use around 30%). The next deciding factor is the length of credit history plays into about 15% of your total score and it refers to how long you've had credit and average age of credit accounts. New credit is 10% which represents new credit cards you got which can ding your credit score for up to 6 months. Lastly, the credit mix portion makes up 10% of your FICO score and rewards you for successfully managing both revolving credit and installment loans",Module 4: Navigating Credit,What Makes a Good FICO Score,core27,standard
"How do credit cards work, and when is it a good idea to use one?","Credit cards are essentially monthly loans in a card, Say you have a credit card and you pay for groceries the card issuer will pay the merchant but you pay what ever you spent back at the end of the month",Module 4: Navigating Credit,Credit Cards as a Financial Tool,core27,standard
What's the difference between installment loans and other types?,"Installment loans differ from other loan types because of their unique characteristics such as receiving it in one lump sum, you repay it back with fixed payments over months or years with common examples of what these loans being used on being auto loans, mortgage, or many personal loans",Module 4: Navigating Credit,Installment Loans,core27,standard
How can I get my debt paid off faster?,"To pay off debt faster, try to pay more than the minimum amount each month if you can. Focus on paying off the debt with the highest interest rate first, because it costs you the most money. You can also use extra money, like a tax refund or birthday money, to make bigger payments and get out of debt sooner.",Module 4: Navigating Credit,Paying Down Debt,core27,standard
What are loan officers actually looking for when they review an application?,"Loan officers look at whether you are likely to repay the loan on time. They usually check your credit score, income, job history, existing debts, and whether you can afford the monthly payments. They also review your application to make sure the information is accurate and complete.",Module 4: Navigating Credit,What Factors Do Loan Officers Consider,core27,standard
How do I snag a good interest rate on a car loan?,"To get a good interest rate on a car loan, keep a good credit score, make a larger down payment if possible, and shop around by comparing offers from different lenders. Choosing a shorter loan term can also help you get a lower interest rate and save money over time.",Module 4: Navigating Credit,Auto Loans Deep Dive,core27,standard
