Task Name,Description content,Status,Priority,Start date,Due date,Task assignee,Tags,Checklist
"DEC-001 Confirm LearnWorlds signed-token plan","As the project team we need the backend to receive a signed proof of the logged-in student so that a browser-supplied session ID cannot expose another student's conversation. Done when the frontend and backend agree on token issuer claims delivery header and test approach. Dependency: manager and frontend students. Demo: show an authenticated test request and a rejected unsigned request.",Backlog,1,2026/09/07,2026/09/18,,"P0|s01|external-dependency|needs-manager|security","Schedule identity meeting|Record token contract|Record escalation if unavailable"
"DEC-002 Provision secure Azure Redis","As the project team we need an encrypted shared conversation service so that student chats survive restarts and multiple servers. Done when a TLS Redis endpoint and approved access method are available in staging. Dependency: university or Azure provisioning. Demo: connection test from staging.",Backlog,1,2026/09/07,2026/09/18,,"P0|s01|external-dependency|needs-manager|privacy","Request service|Confirm TLS and encryption|Store access method securely"
"DEC-003 Confirm Azure OpenAI capacity and regional fallback","As the project team we need an agreed Azure capacity path so that heavy student demand does not make the chatbot unavailable. Done when quota or PTU decision and fallback plan are recorded. Dependency: Azure approval. Demo: manager can see approved capacity and owner.",Backlog,1,2026/09/07,2026/09/25,,"P0|s01|external-dependency|needs-manager|reliability","Request quota|Record capacity decision|Record fallback region"
"DEC-004 Approve student-data retention policy","As the university team we need approved deletion periods so that chat state logs and traces are handled consistently. Done when Redis expiry log retention trace retention and deletion owner are documented. Dependency: university compliance decision. Demo: approved decision log.",Backlog,1,2026/09/07,2026/10/02,,"P0|s01|external-dependency|needs-manager|privacy","Draft policy|Obtain approval|Publish retention settings"
"PR-001 Create the team's visible production-readiness plan","As the project team we want one shared board with owners priorities and blockers so that no important work disappears. Done when the backlog statuses sprint calendar meeting cadence and Definition of Done are visible in ClickUp. Demo: manager locates the current sprint blocked work and next decision without technical help.",Backlog,1,2026/09/07,2026/09/13,Eric,"P0|s01|foundation","Create Space and lists|Create sprints|Set statuses and tags|Publish Definition of Done"
"PR-002 Make the test suite run predictably","As a student I want changes checked before release so that a new update does not silently break the chatbot. Done when a clean supported Python environment installs dependencies and runs the maintained test suite successfully. Demo: run the documented command from a clean environment.",Backlog,1,2026/09/07,2026/09/13,Eric,"P0|s01|quality|testing","Repair legacy imports|Correct resource paths|Document test command|Separate Azure integration tests"
"PR-003 Record production decisions and fallback owners","As the project team we want every outside dependency to have an owner due date and fallback so that waiting does not become invisible. Done when DEC-001 through DEC-004 have named owners escalation dates and fallback actions. Demo: manager reviews the dependency list.",Backlog,1,2026/09/07,2026/09/13,Rebecca,"P0|s01|foundation|external-dependency","Create decision log|Assign owners|Schedule follow-ups"
"PR-004 Lock dependencies and package the service consistently","As a student I want the production service to run the same way as the tested version so that releases are reliable. Done when dependencies are locked and the backend builds as a non-root container. Demo: build and start the container locally.",Backlog,1,2026/09/14,2026/09/20,Rebecca,"P0|s02|reliability|deployment","Create lock file|Export pinned requirements|Add Dockerfile|Add dockerignore|Run container smoke test"
"PR-005 Require automated tests before deployment","As a student I want only tested updates released so that avoidable failures stay out of production. Done when GitHub Actions installs the supported environment runs the test suite and blocks deployment if it fails. Dependency: PR-002. Demo: show a deliberately failing check preventing deployment.",Backlog,1,2026/09/14,2026/09/20,Eric,"P0|s02|quality|deployment","Add test job|Make deploy depend on test job|Add container build check|Document staging integration job"
"PR-006 Return only safe chatbot links and formatting","As a student I want chatbot replies to be safe to open so that a malicious link or HTML cannot compromise my account. Done when raw HTML is disabled or sanitized and only approved rep4finlit.org HTTPS links remain. Demo: malicious javascript data and off-domain link tests are rejected.",Backlog,1,2026/09/14,2026/09/20,Puneeth,"P0|s02|security|frontend","Implement response sanitizer|Add URL allowlist|Convert guardrail replies to safe format|Add XSS tests"
